"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"MalukuTenggaraBarat,Pulau-PulauBabar,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Pulau-PulauBabarTimur,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianTimur,Pulau-PulauGorong,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggara,Pulau-PulauKur,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Pulau-PulauLetimoaLakor,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Pulau-PulauTerselatan,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Pulau-PulauWetar,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,SalaHutu,AMQ,107000,5 - 7,92000,6 - 8,-,JAKARTA"
"MalukuTengah,Saparua,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Saumlaki,AMQ,85000,3 - 5,73000,5 - 7,-,JAKARTA"
"MalukuTenggaraBarat,Selaru,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianBarat,SeramBarat,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianTimur,SeramTimur,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,SeramUtara,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Serwaru,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Ambon,Sirimau,AMQ,52000,2 - 3,45000,3 - 5,-,JAKARTA"
"MalukuTenggaraBarat,TanimbarSelatan,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,TanimbarUtara,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianBarat,Taniwel,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTengah,Tehoru,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Ambon,TelukAmbon,AMQ,52000,2 - 3,45000,3 - 5,-,JAKARTA"
"Ambon,TelukAmbonBaguala,AMQ,52000,2 - 3,45000,3 - 5,-,JAKARTA"
"MalukuTengah,TeonNilaSerua,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggara,Tual,AMQ,85000,3 - 5,73000,5 - 7,-,JAKARTA"
"Buru,Waesama,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianBarat,Waisala,AMQ,161000,+ 10,-,-,-,JAKARTA"
"Buru,Wayapo/BuruUtaraTimur,AMQ,161000,+ 10,-,-,-,JAKARTA"
"SeramBagianTimur,Werinama,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,WerMakatian,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Wertamrian,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Wuarlabobar,AMQ,161000,+ 10,-,-,-,JAKARTA"
"MalukuTenggaraBarat,Yaru,AMQ,161000,+ 10,-,-,-,JAKARTA"
"BaritoKuala,Alalak,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,AluhAluh,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiUtara,Amuntai,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"HuluSungaiUtara,AmuntaiSelatan,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"HuluSungaiUtara,AmuntaiTengah,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"HuluSungaiUtara,AmuntaiUtara,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"HuluSungaiSelatan,Angkinang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,AnjirMuara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,AnjirPasar,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,Aranio,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,Astambul,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoTimur,Awang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Balangan,Awayan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiUtara,Babirik,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,Bakarangan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,Bakumpai,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiUtara,Banjang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjarbaru,BanjarBaru,BDJ,30000,1 - 2,26000,3 - 5,-,JAKARTA"
"Banjarmasin,Banjarmasin,BDJ,30000,1 - 2,26000,3 - 5,38000,JAKARTA"
"Banjarmasin,BanjarmasinBarat,BDJ,30000,1 - 2,26000,3 - 5,38000,JAKARTA"
"Banjarmasin,BanjarmasinSelatan,BDJ,30000,1 - 2,26000,3 - 5,38000,JAKARTA"
"Banjarmasin,BanjarmasinTengah,BDJ,30000,1 - 2,26000,3 - 5,38000,JAKARTA"
"Banjarmasin,BanjarmasinTimur,BDJ,30000,1 - 2,26000,3 - 5,38000,JAKARTA"
"Banjarmasin,BanjarmasinUtara,BDJ,30000,1 - 2,26000,3 - 5,38000,JAKARTA"
"Tabalong,BanuaLawas,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,Barabai,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"BaritoKuala,Barambai,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,BatangAlaiSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,BatangAlaiTengah,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,BatangAlaiUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahLaut,Bati-Bati,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahLaut,BatuAmpar,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,BatuBenawa,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahBambu,BatuLicin,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Balangan,BatuMandi,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,Belawang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
